Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Mr.	Benjamin	Leon	Sr.	C	VA04	2022	5/16/2022	10048912
	Bergmann	Charlotte		C	TN09	2022	5/9/2022	10047767
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	1/1/2022	20020047
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	2/1/2022	20020251
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	3/3/2022	20020354
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	4/1/2022	20020618
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	5/1/2022	20020868
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	6/1/2022	20021091
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	7/3/2022	20021193
Hon.	Beyer	Donald Sternoff	Jr.	P	VA08	2022	7/29/2022	20021447
	Biaggi	Alessandra		C	NY03	2022	6/16/2022	10048919
	Biaggi	Alessandra		X	NY03	2022	6/6/2022	30017363
	Bish	Christine		C	CA06	2022	5/6/2022	10047588
	Black	Annie		C	NV04	2022	5/14/2022	10047353
	Black	Colt Morningstar		X	MD08	2022	6/22/2022	30017262
	Black	Dianne Dodson		A	MS01	2022	6/26/2022	10049676
	Black	Dianne Dodson		C	MS01	2022	5/25/2022	10049458
	Black	Karla		C	CA06	2022	5/26/2022	10049524
	Blaxill	Mark		C	MN03	2022	5/9/2022	10047884
	Bloom	Todd		C	WA06	2022	6/16/2022	10049704
Hon.	Blumenauer	Earl		P	OR03	2022	1/6/2022	20020168
Hon.	Blumenauer	Earl		P	OR03	2022	2/7/2022	20020399
Hon.	Blumenauer	Earl		P	OR03	2022	3/7/2022	20020574
Hon.	Blumenauer	Earl		P	OR03	2022	3/22/2022	20020670
Hon.	Blumenauer	Earl		P	OR03	2022	4/1/2022	20020675
Hon.	Blumenauer	Earl		P	OR03	2022	4/13/2022	20020783
Hon.	Blumenauer	Earl		P	OR03	2022	5/5/2022	20020943
Hon.	Blumenauer	Earl		P	OR03	2022	6/5/2022	20021152
Hon.	Blumenauer	Earl		P	OR03	2022	6/7/2022	20021169
Hon.	Blumenauer	Earl		P	OR03	2022	7/6/2022	20021335
Hon.	Blumenauer	Earl		P	OR03	2022	8/8/2022	20021504
Hon.	Blumenauer	Earl		P	OR03	2022	9/5/2022	20021651
	Bognet	Jim		C	PA08	2022	8/17/2022	10050238
	Bohannan	Christina		C	IA01	2022	5/12/2022	10047473
	Bomer	Articia		D	MI13	2022	1/26/2022	40003301
	Bond	Michelle		C	NY01	2022	8/1/2022	10049865
	Bond	Michelle		X	NY01	2022	7/6/2022	30017571
Mr.	Boucher	Paul David		C	WI08	2022	5/13/2022	10047930
Mr.	Boucher	Paul David		D	WI08	2022	7/7/2022	40003352
	Branco	Patrick Pihana		C	HI02	2022	6/7/2022	10049699
	Brecheen	Josh		C	OK02	2022	5/1/2022	10047125
Mr.	Brelsford	Gregg Bowyer		C	AK00	2022	5/3/2022	10047074
	Brog	David		C	NV01	2022	5/16/2022	10048819
Ms.	Brooks	Linda Susan		A	FL02	2022	6/5/2022	10049674
Ms.	Brooks	Linda Susan		C	FL02	2022	5/15/2022	10048784
Ms.	Brooks	Linda Susan Ms		A	FL02	2022	6/21/2022	8219035
Hon.	Brooks	Mo		P	AL05	2022	3/21/2022	20020661
Hon.	Brooks	Mo		P	AL05	2022	4/26/2022	20020873
Hon.	Brooks	Mo		P	AL05	2022	5/11/2022	20020998
Hon.	Brooks	Mo		P	AL05	2022	6/12/2022	20021197
Hon.	Brooks	Mo		P	AL05	2022	7/19/2022	20021403
Hon.	Brooks	Mo		P	AL05	2022	8/17/2022	20021568
Dr.	Broun	Paul C.		C	GA10	2022	5/16/2022	10046882
